"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,250.74,4.5,"[20], [79, 116]"
2,265.43,6.3,"[20], [79, 116]"
3,115.11,2.9,"[20], [79, 116]"
4,174.47,4.8,"[20], [79, 116]"
5,150.23,5.1,"[20], [79, 116]"
6,154.55,4.6,"[20], [79, 116]"
7,133.78,4.8,"[20], [79, 116]"
8,209.87,5.4,"[20], [79, 116]"
9,222.21,5.5,"[20], [79, 116]"
10,233.15,8.1,"[20], [79, 116]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,92.72,2.2,[20]
2,79.9,5.1,[20]
3,84.02,5.7,[20]
4,82.15,8.2,[20]
5,88.67,4.6,[20]
6,64.89,9.6,[20]
7,70.02,4.3,[20]
8,77.43,2.4,[20]
9,72.72,7.4,[20]
10,63.67,3.2,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,185.03,7.8,None
2,105.28,9.2,[20]
3,119.41,9.1,[20]
4,108.62,9.8,[20]
5,122.26,6.8,[20]
6,128.89,8.2,None
7,127.63,4.5,[20]
8,125.23,8.5,None
9,133.99,9.3,None
10,129.46,9.9,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,57.6,N/A,None
2,65.56,N/A,None
3,72.55,N/A,None
4,56.6,N/A,None
5,74.15,N/A,None
6,85.02,N/A,None
7,94.82,N/A,None
8,60.59,N/A,None
9,78,N/A,[20]
10,63.39,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,204.7,5.5,[20]
2,134.06,6.2,[20]
3,102.82,6.3,[20]
4,153.11,5.6,None
5,266.26,8.2,[20]
6,178.92,4.6,[20]
7,109.22,2.6,[20]
8,221.23,7.3,None
9,222.57,7.3,[20]
10,112.46,8.4,None
